,industry,countryCode,organizationTypeCode,organizationSizeCode,ageRange,gender,scoring
1561,Computer Software,NL,P,A,41-50,Male,Win
1562,Wireless,PT,P,C,18-30,Male,Loss
1564,Investment Banking/Venture,DE,P,B,18-30,Female,Win
1565,Internet,US,P,B,18-30,Male,Win
1567,Marketing & Advertising,NL,P,A,18-30,Male,Win
1568,Information Technology & Services,NL,P,A,18-30,Male,Win
1569,Real Estate,CH,C,B,51-60,Male,Win
1570,Information Technology & Services,CA,P,A,41-50,Male,Win
1572,Financial Services,CH,P,B,31-40,Male,Win
1573,Information Technology & Services,NL,P,C,41-50,Male,Win
1575,Information Technology & Services,US,P,F,31-40,Male,Win
1576,Entertainment,US,P,B,31-40,Female,Win
1577,Internet,US,C,H,31-40,Male,Win
1580,Telecommunications,BD,P,F,41-50,Male,Loss
1581,Venture Capital,DE,S,A,31-40,Male,Win
1582,Computer Software,FR,P,A,31-40,Male,Win
1583,Marketing & Advertising,DE,C,A,18-30,Female,Win
1584,Marketing & Advertising,FR,S,A,41-50,Male,Win
1585,Venture Capital,DE,P,A,31-40,Male,Win
1586,Design,PT,S,A,31-40,Male,Loss
1587,Information Technology & Services,FI,C,B,31-40,Male,Win
1589,Information Technology & Services,DE,P,C,18-30,Male,Win
1590,Consumer Goods,DE,S,C,31-40,Male,Win
1592,Computer Software,CH,P,B,31-40,Male,Win
1597,Computer Software,IT,O,A,18-30,Male,Loss
1598,Banking,CH,C,D,31-40,Male,Loss
1599,Computer & Network Security,DE,P,B,18-30,Female,Win
1600,Information Technology & Services,IE,P,A,18-30,Male,Win
1601,Computer Software,MX,P,B,18-30,Male,Win
1602,Internet,DE,P,D,41-50,Male,Win
1603,Internet,IT,P,B,18-30,Male,Win
1606,Internet,CH,P,B,18-30,Male,Win
1607,Information Technology & Services,DE,P,B,18-30,Male,Win
1608,Venture Capital,US,S,A,31-40,Male,Win
1609,Real Estate,LU,P,A,31-40,Male,Loss
1610,Venture Capital,CH,S,A,41-50,Male,Win
1611,Computer Games,CH,P,A,18-30,Male,Win
1612,Media Production,US,C,H,41-50,Male,Win
1614,Financial Services,CH,N,A,18-30,Male,Win
1615,Computer Software,US,P,D,51-60,Male,Win
1616,Building Materials,PT,S,A,31-40,Male,Loss
1617,Internet,GB,P,A,18-30,Male,Win
1618,Information Technology & Services,US,P,C,18-30,Male,Win
1619,Staffing & Recruiting,DE,P,C,18-30,Male,Win
1620,Computer Software,DE,P,A,51-60,Male,Win
1621,Information Technology & Services,DE,P,C,41-50,Male,Win
1623,Investment Management,CH,P,D,18-30,Female,Loss
1624,Information Technology & Services,DK,P,E,31-40,Male,Loss
1625,Internet,CA,P,A,18-30,Male,Win
1626,Internet,DE,P,B,31-40,Male,Win
1627,Computer Software,CH,P,C,31-40,Male,Win
1628,Management Consulting,CH,P,A,31-40,Male,Win
1630,Internet,GB,N,A,31-40,Male,Win
1632,Financial Services,US,P,B,18-30,Male,Win
1634,Venture Capital,DE,S,A,41-50,Male,Win
1635,Investment Management,CH,P,A,31-40,Male,Win
1636,Computer Software,SE,P,B,18-30,Female,Win
1639,Banking,CH,C,B,18-30,Male,Win
1641,Real Estate,GB,P,A,18-30,Female,Win
1642,Media Production,DE,P,E,31-40,Male,Loss
1643,Venture Capital,CH,P,B,18-30,Male,Win
1644,Computer Hardware,IT,P,A,31-40,Male,Loss
1646,Venture Capital,US,S,A,31-40,Male,Win
1647,Financial Services,US,P,A,31-40,Male,Win
1648,Information Technology & Services,DE,C,B,31-40,Male,Win
1650,Internet,US,P,B,31-40,Male,Win
1651,Staffing & Recruiting,DE,P,C,31-40,Male,Win
1652,Management Consulting,ES,P,C,31-40,Male,Win
1653,Internet,US,P,C,31-40,Male,Win
1654,Venture Capital,DE,P,A,41-50,Male,Win
1655,Insurance,GB,C,B,31-40,Male,Win
1656,Internet,US,P,E,31-40,Male,Win
1657,Information Technology & Services,DE,P,C,31-40,Male,Win
1659,Financial Services,US,P,D,18-30,Male,Win
1661,Management Consulting,CH,C,B,41-50,Male,Win
1662,Internet,US,P,E,31-40,Male,Win
1663,Marketing & Advertising,DE,S,C,31-40,Male,Win
1664,Financial Services,NL,C,B,41-50,Male,Win
1665,Research,CH,G,E,41-50,Male,Loss
1668,Information Technology & Services,BE,D,A,41-50,Male,Loss
1669,Nonprofit Organization Management,NL,N,A,18-30,Male,Loss
1670,Venture Capital,US,N,B,31-40,Male,Win
1671,Information Technology & Services,GB,P,A,18-30,Male,Win
1672,Information Technology & Services,DE,C,C,41-50,Male,Win
1673,Computer Software,US,P,C,31-40,Male,Win
1674,Venture Capital,US,S,C,31-40,Male,Win
1675,Financial Services,CH,N,A,18-30,Female,Win
1676,Computer Software,FR,S,B,31-40,Male,Win
1678,Transportation/Trucking/Railroad,US,P,B,31-40,Male,Win
1680,Renewables & Environment,DE,S,D,18-30,Male,Loss
1681,Information Technology & Services,FI,P,A,31-40,Male,Win
1682,Marketing & Advertising,DE,O,B,31-40,Male,Win
1684,Management Consulting,ES,P,C,31-40,Male,Win
1685,Online Publishing,US,P,C,31-40,Male,Win
1687,Investment Management,FI,P,A,18-30,Female,Loss
1688,Internet,US,P,C,31-40,Male,Win
1689,Apparel & Fashion,DE,E,C,31-40,Male,Loss
1692,Retail,NO,P,A,31-40,Male,Loss
1693,Marketing & Advertising,GB,C,G,31-40,Female,Loss
1694,Media Production,CN,P,D,51-60,Male,Loss
1695,Computer Software,US,P,C,41-50,Male,Win
1697,Management Consulting,DE,O,C,31-40,Male,Win
1698,Financial Services,BR,O,A,31-40,Male,Loss
1700,Computer Software,CH,P,C,18-30,Male,Win
1701,Oil & Energy,NO,C,A,41-50,Male,Loss
1702,Accounting,IE,S,F,18-30,Female,Loss
1703,Information Technology & Services,BE,P,A,18-30,Male,Win
1704,Computer Software,DE,P,C,31-40,Male,Win
1705,Information Technology & Services,NL,O,A,41-50,Male,Win
1707,Computer Software,US,P,C,18-30,Female,Win
1708,Market Research,US,S,A,31-40,Female,Loss
1709,Internet,DE,P,C,18-30,Male,Win
1710,Publishing,NL,C,B,31-40,Male,Win
1711,Internet,US,P,C,18-30,Female,Win
1712,Information Technology & Services,NL,P,A,31-40,Male,Win
1713,Venture Capital,DE,S,B,31-40,Male,Win
1714,Computer Games,DE,P,B,18-30,Male,Win
1715,Publishing,NL,C,B,51-60,Male,Win
1716,Internet,FR,P,B,31-40,Male,Win
1717,Computer Software,US,P,D,31-40,Male,Win
1718,Computer Software,BE,P,A,31-40,Male,Win
1720,Information Technology & Services,DE,P,C,41-50,Male,Win
1722,Information Technology & Services,GB,P,B,31-40,Male,Win
1723,Information Technology & Services,DE,E,A,31-40,Male,Win
1724,Internet,GB,P,C,18-30,Female,Win
1726,Computer & Network Security,FR,O,B,18-30,Male,Loss
1727,Information Technology & Services,DE,E,B,31-40,Male,Win
1728,Food & Beverages,DE,C,B,18-30,Male,Win
1729,Information Technology & Services,NL,P,A,31-40,Male,Win
1731,Venture Capital,DE,P,C,31-40,Male,Win
1732,Financial Services,AT,C,B,31-40,Male,Win
1733,Information Technology & Services,NL,P,B,31-40,Male,Win
1735,Marketing & Advertising,CH,C,C,31-40,Male,Win
1737,Internet,DE,P,A,18-30,Male,Win
1740,Venture Capital,DE,S,B,31-40,Male,Win
1741,Internet,US,P,B,18-30,Male,Win
1743,Information Technology & Services,FR,S,C,31-40,Male,Win
1744,Higher Education,DE,N,C,31-40,Male,Win
1745,Management Consulting,DE,P,A,18-30,Male,Win
1747,Telecommunications,SA,P,E,18-30,Male,Loss
1756,Marketing & Advertising,DE,P,B,18-30,Male,Win
1757,Apparel & Fashion,DE,P,A,31-40,Male,Win
1758,Internet,DE,P,D,31-40,Male,Win
1760,Automotive,DE,C,H,41-50,Male,Win
